facet_raw,facet_name,inferrable,category,description,score_anchor_1,score_anchor_3,score_anchor_5,polarity,weight
Burnout Symptoms,Burnout Symptoms,True,Psychological,This facet measures the degree to which an individual's conversation turn reflects signs of emotional exhaustion or burnout.,The person's conversation turn does not reflect any signs of burnout or emotional exhaustion.,"The person's conversation turn reflects some signs of burnout or emotional exhaustion, such as frustration or cynicism.","The person's conversation turn is dominated by signs of burnout or emotional exhaustion, such as hopelessness or detachment.",negative,1.0
Holiness,Holiness,True,General,This facet measures the degree to which an individual's conversation turn reflects a strong sense of spirituality or moral principles.,The person's conversation turn does not reflect a strong sense of spirituality or moral principles.,"The person's conversation turn occasionally references spiritual or moral principles, but they are not a dominant theme.","The person's conversation turn is deeply rooted in spiritual or moral principles, with frequent references and a strong sense of conviction.",positive,1.0
Selfcontrol,Selfcontrol,True,Personality,This facet measures the degree to which an individual's conversation turn reflects the ability to regulate their emotions and impulses.,"The person's conversation turn is characterized by a lack of self-control, with impulsive or emotional outbursts.","The person's conversation turn reflects a moderate level of self-control, with some ability to regulate their emotions and impulses.","The person's conversation turn is characterized by a high level of self-control, with a consistent ability to regulate their emotions and impulses.",positive,1.0
SelfDirectedness,SelfDirectedness,True,General,This facet measures the degree to which an individual's conversation turn reflects a sense of autonomy and self-direction.,"The person's conversation turn reflects a lack of autonomy or self-direction, with a focus on external guidance or direction.","The person's conversation turn reflects a moderate level of autonomy or self-direction, with some ability to set goals and priorities.","The person's conversation turn is characterized by a high level of autonomy or self-direction, with a strong sense of purpose and direction.",positive,1.0
Encouraging participation,Encouraging participation,True,Social,This facet measures the degree to which an individual's conversation turn encourages or invites others to participate.,"The person's conversation turn is dominant or one-sided, with little opportunity for others to participate.","The person's conversation turn occasionally invites others to participate, but may still be somewhat dominant.","The person's conversation turn is characterized by a high level of inclusivity and encouragement, with frequent invitations for others to participate and share their thoughts.",positive,1.0
Impracticalness,Impracticalness,True,General,This facet measures the degree to which an individual's conversation turn reflects a lack of concern for practicality or feasibility.,The person's conversation turn is highly practical and focused on feasible solutions.,"The person's conversation turn reflects a moderate level of concern for practicality, with some consideration for feasibility.","The person's conversation turn is characterized by a high level of impracticalness, with a focus on idealistic or unrealistic solutions.",negative,1.0
Meeting Deadlines,Meeting Deadlines,True,Behavioral,This facet measures the degree to which an individual's conversation turn reflects a sense of urgency or commitment to meeting deadlines.,The person's conversation turn does not reflect a sense of urgency or commitment to meeting deadlines.,"The person's conversation turn reflects a moderate level of commitment to meeting deadlines, with some sense of urgency.","The person's conversation turn is characterized by a high level of commitment to meeting deadlines, with a strong sense of urgency and a focus on timely completion.",positive,1.0
Data Analysis,Data Analysis,True,Cognitive,"This facet measures the degree to which an individual's conversation turn reflects the ability to collect, analyze, and interpret data.","The person's conversation turn does not reflect any ability to collect, analyze, or interpret data.","The person's conversation turn reflects a moderate level of ability to collect, analyze, and interpret data, with some basic analytical skills.","The person's conversation turn is characterized by a high level of ability to collect, analyze, and interpret data, with advanced analytical skills and a strong understanding of statistical concepts.",positive,1.0
Social Interaction Skills,Social Interaction Skills,True,Social,This facet measures the ability to engage and interact with others in a conversation turn.,The speaker barely responds or shows no interest in the conversation.,"The speaker participates in the conversation, but may not fully engage or show enthusiasm.","The speaker is highly engaged, shows genuine interest, and actively contributes to the conversation.",positive,1.0
Psychoticism,Psychoticism,True,Personality,"This facet measures the presence of psychotic tendencies, such as irrational thinking or erratic behavior, in a conversation turn.",The speaker's thoughts and behaviors appear rational and coherent.,"The speaker exhibits some unusual or unconventional thoughts, but they are not severely impaired.","The speaker displays prominent psychotic symptoms, such as delusions or disorganized thinking.",negative,1.0
Ethical leadership rating,Ethical leadership rating,True,Safety/Ethics,"This facet measures the demonstration of ethical leadership principles, such as integrity and responsibility, in a conversation turn.",The speaker shows a lack of concern for ethical considerations or prioritizes personal gain.,"The speaker acknowledges the importance of ethics, but may not consistently demonstrate ethical behavior.","The speaker consistently displays strong ethical principles, such as honesty and fairness, in their words and actions.",positive,1.0
Slothfulness,Slothfulness,True,Behavioral,This facet measures the presence of laziness or lack of motivation in a conversation turn.,"The speaker shows enthusiasm and energy, with a strong desire to take action.","The speaker appears somewhat apathetic, but may still be willing to engage in activities.","The speaker consistently displays a lack of motivation, avoiding tasks and responsibilities.",negative,1.0
Happiness,Happiness,True,Emotional,"This facet measures the expression of positive emotions, such as joy or contentment, in a conversation turn.","The speaker appears unhappy, sad, or depressed.","The speaker seems neutral, neither expressing strong positive nor negative emotions.","The speaker consistently displays happiness, enthusiasm, and a positive outlook.",positive,1.0
Contentment Levels,Contentment Levels,True,Emotional,This facet measures the degree of satisfaction or fulfillment in a conversation turn.,The speaker expresses significant dissatisfaction or discontent.,"The speaker appears somewhat satisfied, but may still have some unmet needs or desires.","The speaker consistently displays high levels of contentment, feeling fulfilled and satisfied.",positive,1.0
Neuroticism,Neuroticism,True,Personality,"This facet measures the presence of negative emotional tendencies, such as anxiety or anger, in a conversation turn.","The speaker appears emotionally stable, with minimal signs of distress.","The speaker exhibits some emotional instability, but is able to manage their emotions.","The speaker consistently displays high levels of emotional distress, such as anxiety or irritability.",negative,1.0
Desire for excellence,Desire for excellence,True,General,This facet measures the motivation to strive for high achievement and quality in a conversation turn.,"The speaker shows a lack of ambition, settling for mediocrity.","The speaker has some desire to improve, but may not be highly motivated to excel.","The speaker consistently displays a strong desire for excellence, striving for high-quality results.",positive,1.0
Perceiving,Perceiving,True,General,This facet measures the ability to observe and interpret sensory information in a conversation turn.,"The speaker appears unaware of their surroundings, neglecting details and sensory input.","The speaker notices some details, but may not fully appreciate the context or nuances.","The speaker is highly attuned to their environment, accurately perceiving and interpreting sensory information.",positive,1.0
Liberalism,Liberalism,True,Personality,"This facet measures the degree of openness to new ideas, social progress, and individual freedom in a conversation turn.","The speaker holds traditional or conservative views, resisting change and progress.","The speaker is somewhat open to new ideas, but may still be cautious or uncertain.","The speaker consistently displays a strong commitment to liberal values, such as social justice and individual freedom.",positive,1.0
Inversion comfort level,Inversion comfort level,True,General,"This facet measures the comfort with ambiguity, uncertainty, or unconventional thinking in a conversation turn.","The speaker prefers clear, straightforward answers and avoids ambiguity.","The speaker is somewhat comfortable with uncertainty, but may still seek clarity or structure.","The speaker is highly comfortable with ambiguity, embracing complexity and uncertainty.",positive,1.0
Affection,Affection,True,Emotional,"This facet measures the expression of warmth, empathy, and emotional connection in a conversation turn.","The speaker appears cold, distant, or unempathetic.","The speaker shows some emotional connection, but may not fully express warmth or empathy.","The speaker consistently displays high levels of affection, empathy, and emotional connection.",positive,1.0
Numeric Filing Skills,Numeric Filing Skills,True,General,This facet measures the ability to organize and manage numerical data in a conversation turn.,"The speaker struggles to understand or work with numbers, showing significant difficulty.","The speaker has some basic numeric skills, but may make errors or show limitations.","The speaker consistently displays high levels of numeric proficiency, accurately managing and analyzing data.",positive,1.0
Martyrdom,Martyrdom,True,General,This facet measures the tendency to sacrifice one's own needs or desires for the benefit of others in a conversation turn.,"The speaker prioritizes their own needs and desires, showing minimal willingness to sacrifice.","The speaker is somewhat willing to make sacrifices, but may still prioritize their own interests.","The speaker consistently displays a strong tendency to martyr themselves, prioritizing others' needs above their own.",neutral,1.0
Parathyroid-hormone level,Parathyroid-hormone level,False,General,,,,,,1.0
Seeking approval,Seeking approval,True,General,This facet measures the need for external validation or recognition in a conversation turn.,"The speaker is self-assured, showing minimal need for external validation.","The speaker seeks some approval, but is not overly dependent on external recognition.","The speaker consistently displays a strong need for approval, seeking constant validation and recognition from others.",negative,1.0
Big Five facet Openness – Artistic Interests,Big Five facet Openness – Artistic Interests,True,Personality,"This facet measures the extent to which a person expresses interest and appreciation for art, music, and other creative pursuits in a conversation turn",The person shows no interest or appreciation for artistic expressions and may even dismiss them,"The person occasionally mentions or shows mild interest in artistic activities, but it is not a dominant theme","The person frequently discusses, creates, or enthusiastically engages with artistic expressions, demonstrating a deep appreciation and passion",positive,1.0
Psychological construct: Operant-Learning rate,Psychological construct: Operant-Learning rate,True,Cognitive,,,,,,1.0
Psychological construct: Need for Achievement level,Psychological construct: Need for Achievement level,True,Cognitive,,,,,,1.0
Cantankerousness,Cantankerousness,True,Safety/Ethics,"This facet measures the degree to which a person is irritable, argumentative, and prone to complaining in a conversation turn","The person is rarely irritable or argumentative, and tends to maintain a positive and cooperative demeanor","The person occasionally expresses irritation or argues, but also shows ability to listen and compromise","The person frequently exhibits irritability, argumentativeness, and a tendency to complain, dominating conversations with negativity",negative,1.0
Material properties knowledge,Material properties knowledge,True,General,This facet measures the extent to which a person demonstrates knowledge and understanding of the properties and characteristics of various materials in a conversation turn,"The person shows little to no knowledge of material properties, often expressing confusion or ignorance","The person has a moderate level of knowledge, able to discuss some basic properties of common materials","The person demonstrates extensive and detailed knowledge of material properties, able to discuss complex characteristics and applications",positive,1.0
Hostility,Hostility,True,Emotional,"This facet measures the degree to which a person expresses aggressive, antagonistic, or belligerent attitudes and behaviors in a conversation turn","The person rarely expresses hostile attitudes or behaviors, and tends to maintain a calm and respectful demeanor","The person occasionally expresses frustration or annoyance, but also shows ability to manage their emotions and communicate effectively","The person frequently exhibits aggressive, antagonistic, or belligerent behavior, dominating conversations with hostility",negative,1.0
Independence,Independence,True,Personality,"This facet measures the extent to which a person values and demonstrates autonomy, self-reliance, and decision-making capacity in a conversation turn","The person tends to rely heavily on others for guidance and support, rarely taking initiative or making independent decisions","The person occasionally asserts their independence, but also seeks input and validation from others","The person consistently demonstrates autonomy, self-reliance, and confidence in their decision-making, rarely seeking external validation",positive,1.0
Chromatin-accessibility score,Chromatin-accessibility score,False,General,,,,,,1.0
Well-being component: Engagement,Well-being component: Engagement,True,General,"This facet measures the extent to which a person is fully present, interested, and involved in the conversation, as indicated by their verbal and nonverbal cues","The person appears disengaged, distracted, or uninterested in the conversation, often failing to respond or contribute","The person is moderately engaged, occasionally showing interest and participating in the conversation, but also drifting off or losing focus","The person is fully present, highly interested, and actively engaged in the conversation, consistently responding and contributing",positive,1.0
Need for social interaction,Need for social interaction,True,Social,"This facet measures the extent to which a person desires and seeks out social contact, interaction, and connection with others in a conversation turn","The person tends to avoid social interaction, preferring solitude and rarely initiating or maintaining conversations","The person has moderate social needs, occasionally seeking out interaction and connection, but also valuing alone time","The person has a strong desire for social interaction, frequently seeking out and initiating conversations, and thriving in social environments",positive,1.0
Peer-collaboration hours,Peer-collaboration hours,False,Social,,,,,,1.0
Arts and Humanities,Arts and Humanities,True,General,"This facet measures the extent to which a person discusses, references, or applies concepts and ideas from the arts and humanities in a conversation turn","The person rarely mentions or applies arts and humanities concepts, and may even express disdain or disinterest","The person occasionally references or discusses arts and humanities topics, but may not demonstrate deep understanding or insight","The person frequently and thoughtfully discusses, references, or applies concepts and ideas from the arts and humanities, demonstrating a rich and nuanced understanding",positive,1.0
Compassion,Compassion,True,Social,"This facet measures the extent to which a person expresses empathy, concern, and kindness towards others in a conversation turn","The person shows little to no compassion or empathy, often appearing indifferent or uncaring","The person occasionally expresses sympathy or concern, but may not consistently demonstrate empathy or kindness","The person consistently and deeply expresses compassion, empathy, and kindness, actively seeking to understand and support others",positive,1.0
Information Retention,Information Retention,True,Cognitive,"This facet measures the extent to which a person is able to recall, retain, and apply information from previous conversations or interactions","The person has difficulty recalling or retaining information, often requiring reminders or repetition","The person has moderate ability to recall and retain information, occasionally requiring prompts or cues","The person consistently demonstrates excellent recall and retention of information, able to apply and build upon previous knowledge",positive,1.0
Eye-contact duration,Eye-contact duration,False,General,,,,,,1.0
Self-righteousness,Self-righteousness,True,General,"This facet measures the degree to which a person exhibits a self-important, superior, or judgmental attitude towards others in a conversation turn","The person rarely expresses self-righteous or superior attitudes, and tends to maintain a humble and open-minded demeanor","The person occasionally expresses confidence or conviction, but also shows ability to listen and consider alternative perspectives","The person frequently exhibits a self-important, superior, or judgmental attitude, dominating conversations with their own opinions and beliefs",negative,1.0
General Mood and Attitude,General Mood and Attitude,True,Emotional,"This facet measures the overall emotional tone and attitude a person conveys in a conversation turn, including their affect, demeanor, and language use","The person consistently expresses a negative, pessimistic, or unhappy attitude, often complaining or criticizing","The person has a neutral or mixed attitude, occasionally expressing both positive and negative emotions","The person consistently conveys a positive, optimistic, and enthusiastic attitude, often expressing gratitude or appreciation",positive,1.0
Serotonin transporter availability,Serotonin transporter availability,False,General,,,,,,1.0
Contribution to Group Goals,Contribution to Group Goals,True,Social,"This facet measures the extent to which a person actively contributes to, supports, and advances the goals and objectives of a group or team in a conversation turn","The person rarely contributes to or supports group goals, often appearing uncooperative or uninterested","The person occasionally contributes or offers suggestions, but may not consistently prioritize or support group objectives","The person consistently and actively contributes to, supports, and advances group goals, demonstrating a strong sense of teamwork and collaboration",positive,1.0
Dignity,Dignity,True,General,This facet measures the level of respect and self-worth expressed by the speaker in a conversation turn,The speaker expresses self-deprecation or belittles themselves,"The speaker maintains a neutral tone, neither elevating nor diminishing themselves","The speaker conveys confidence and self-respect, standing up for their rights and opinions",positive,1.0
Evaluating Solutions,Evaluating Solutions,True,General,This facet measures the extent to which the speaker analyzes and assesses potential solutions in a conversation turn,The speaker does not consider or evaluate any solutions,The speaker briefly mentions a few potential solutions without in-depth analysis,"The speaker thoroughly examines multiple solutions, weighing their pros and cons",positive,1.0
Input,Input,True,General,This facet measures the level of engagement and participation the speaker has in the conversation,The speaker is largely unresponsive or unengaged,"The speaker contributes occasionally, but mostly listens or follows others' leads","The speaker is highly engaged, actively contributing and driving the conversation forward",positive,1.0
Discreteness,Discreteness,True,General,This facet measures the clarity and distinctness of the speaker's thoughts and expressions in a conversation turn,"The speaker's thoughts are vague, disjointed, or difficult to follow","The speaker's thoughts are somewhat clear, but may lack specificity or organization","The speaker's thoughts are well-defined, logical, and easy to understand",positive,1.0
Character strength: Social Intelligence,Character strength: Social Intelligence,True,Cognitive,This facet measures the speaker's ability to understand and navigate social situations and relationships in a conversation turn,The speaker shows little awareness of social cues or interpersonal dynamics,"The speaker demonstrates some understanding of social norms, but may not always apply them effectively","The speaker exhibits a high degree of social intelligence, adeptly navigating complex social situations",positive,1.0
Bravery,Bravery,True,General,This facet measures the level of courage or willingness to take risks expressed by the speaker in a conversation turn,The speaker avoids challenges or shows fear in the face of adversity,"The speaker is willing to take moderate risks, but may also show some hesitation","The speaker consistently demonstrates courage, standing up for what they believe in despite potential challenges",positive,1.0
Childhood Experiences,Childhood Experiences,True,General,This facet measures the relevance and impact of the speaker's childhood experiences on their current thoughts and feelings in a conversation turn,The speaker does not mention or reflect on their childhood experiences,"The speaker occasionally references their childhood, but it does not significantly influence their current perspective","The speaker frequently draws on their childhood experiences, using them to inform and shape their current thoughts and feelings",neutral,1.0
Data-sharing consent level,Data-sharing consent level,True,General,This facet measures the speaker's willingness to share personal data or information in a conversation turn,The speaker is extremely hesitant or unwilling to share any personal data,"The speaker is moderately willing to share some personal data, but may have reservations","The speaker is very open and willing to share personal data, without significant concern",neutral,1.0
Vision-check frequency,Vision-check frequency,False,General,,,,,,1.0
Physical-violence exposure,Physical-violence exposure,False,Safety/Ethics,,,,,,1.0
Macronutrient ratio: fat,Macronutrient ratio: fat,False,General,,,,,,1.0
Cooking and Culinary Arts,Cooking and Culinary Arts,True,General,"This facet measures the speaker's interest, knowledge, or involvement in cooking and culinary arts in a conversation turn",The speaker shows no interest or knowledge of cooking or culinary arts,"The speaker has some basic knowledge or occasional interest in cooking, but it is not a significant part of their life","The speaker is highly enthusiastic and knowledgeable about cooking and culinary arts, frequently discussing or engaging in these activities",neutral,1.0
Language use,Language use,True,Linguistic,"This facet measures the speaker's choice of words, tone, and language style in a conversation turn","The speaker uses simplistic, unclear, or offensive language","The speaker uses standard, everyday language without notable flair or sophistication","The speaker uses rich, nuanced, and engaging language, adapting their tone and style to the context",positive,1.0
Dance-style mastery diversity,Dance-style mastery diversity,False,General,,,,,,1.0
Satya Adherence,Satya Adherence,True,General,"This facet measures the speaker's commitment to truthfulness and honesty in a conversation turn, as per the concept of Satya",The speaker frequently distorts or withholds the truth,"The speaker generally tells the truth, but may occasionally omit or obscure information","The speaker consistently upholds the highest standards of honesty and transparency, embodying the principle of Satya",positive,1.0
Ethnocentrism,Ethnocentrism,True,Personality,This facet measures the speaker's tendency to view their own culture as superior to others in a conversation turn,"The speaker shows little to no cultural bias, embracing diversity and other perspectives","The speaker occasionally exhibits cultural bias, but also acknowledges and respects other cultures","The speaker strongly believes in the superiority of their own culture, often dismissing or devaluing other cultural perspectives",negative,1.0
Emotional Boundaries,Emotional Boundaries,True,Emotional,This facet measures the speaker's ability to maintain healthy emotional limits and distinctions in a conversation turn,"The speaker has difficulty setting or maintaining emotional boundaries, often becoming overly enmeshed or distant","The speaker generally respects emotional boundaries, but may occasionally overstep or struggle with assertiveness","The speaker consistently establishes and maintains clear, healthy emotional boundaries, prioritizing their own and others' emotional well-being",positive,1.0
Creativity in solutions,Creativity in solutions,True,General,This facet measures the speaker's ability to generate innovative and original solutions in a conversation turn,"The speaker relies on conventional or unoriginal solutions, showing little creativity","The speaker occasionally proposes novel solutions, but they may not always be practical or effective","The speaker consistently generates highly creative, innovative, and effective solutions to problems",positive,1.0
Psychological construct: Hope scale,Psychological construct: Hope scale,True,Cognitive,This facet measures the speaker's level of hope and optimism about the future in a conversation turn,The speaker expresses pervasive hopelessness or despair,"The speaker has a moderate level of hope, but may also express some doubts or uncertainties","The speaker consistently exhibits a strong sense of hope and optimism, believing in their ability to achieve their goals and create a better future",positive,1.0
Depression (DEP),Depression (DEP),True,Emotional,"This facet measures the extent to which a conversation turn expresses feelings of sadness, hopelessness, or loss of interest in activities.",The speaker shows no signs of sadness or hopelessness and appears to be in a positive mood.,The speaker mentions feeling somewhat down or blue but does not elaborate or express intense emotional distress.,"The speaker expresses overwhelming feelings of sadness, hopelessness, or despair, and may mention suicidal thoughts or feelings of worthlessness.",negative,1.0
Understanding Mathematical Concepts,Understanding Mathematical Concepts,True,Cognitive,This facet measures the extent to which a conversation turn demonstrates a clear understanding of mathematical concepts or principles.,The speaker shows little to no understanding of mathematical concepts and may struggle to apply basic mathematical principles.,"The speaker demonstrates a moderate understanding of mathematical concepts, able to apply basic principles but struggling with more complex ideas.","The speaker exhibits a deep and nuanced understanding of mathematical concepts, able to apply complex principles and reason abstractly.",positive,1.0
Hypomania (Ma),Hypomania (Ma),True,Emotional,"This facet measures the extent to which a conversation turn expresses elevated or expansive mood, increased energy, or reduced need for sleep.",The speaker shows no signs of elevated mood or increased energy and appears to be in a normal or subdued state.,The speaker mentions feeling somewhat more energetic or optimistic than usual but does not exhibit extreme or impulsive behavior.,"The speaker exhibits intense feelings of euphoria, increased energy, or reduced need for sleep, and may engage in impulsive or reckless behavior.",negative,1.0
Goal-Directed Behavior,Goal-Directed Behavior,True,Behavioral,"This facet measures the extent to which a conversation turn demonstrates a clear sense of purpose, direction, or motivation towards achieving specific goals.","The speaker appears to lack direction or motivation, and may express feelings of aimlessness or disinterest in achieving goals.",The speaker mentions having some goals or aspirations but does not exhibit a strong sense of direction or motivation.,"The speaker exhibits a clear and compelling sense of purpose, direction, and motivation, with well-defined goals and a plan for achieving them.",positive,1.0
Depth of Emotional Connections,Depth of Emotional Connections,True,Emotional,This facet measures the extent to which a conversation turn demonstrates a deep and meaningful understanding of others' emotions and experiences.,The speaker shows little to no interest in or understanding of others' emotions and experiences.,"The speaker demonstrates a moderate ability to understand and empathize with others' emotions, but may not fully grasp the depth or complexity of their experiences.","The speaker exhibits a profound and nuanced understanding of others' emotions and experiences, able to empathize deeply and provide supportive and insightful responses.",positive,1.0
Binding foundations index,Binding foundations index,True,General,"This facet measures the extent to which a conversation turn demonstrates a sense of social connection, community, or shared values with others.","The speaker shows little to no interest in or sense of connection with others, and may appear isolated or disconnected.",The speaker mentions having some social connections or shared values with others but does not exhibit a strong sense of community or belonging.,"The speaker exhibits a strong sense of social connection, community, and shared values with others, and may express a desire to contribute to or support the well-being of others.",positive,1.0
Ego Dissolution Frequency,Ego Dissolution Frequency,False,General,,,,,,1.0
Activator: Turning thoughts into action,Activator: Turning thoughts into action,True,General,This facet measures the extent to which a conversation turn demonstrates the ability to translate ideas or intentions into concrete actions or plans.,"The speaker appears to struggle with taking action or following through on plans, and may express feelings of procrastination or indecision.",The speaker mentions having some ideas or intentions but does not exhibit a strong ability to turn them into concrete actions or plans.,"The speaker exhibits a high degree of initiative and follow-through, able to translate ideas into concrete actions and plans, and may express a sense of accomplishment or pride in their achievements.",positive,1.0
Exemplariness,Exemplariness,True,General,"This facet measures the extent to which a conversation turn demonstrates a strong sense of moral character, integrity, or ethical behavior.","The speaker shows little to no concern for moral character or ethical behavior, and may express selfish or exploitative tendencies.",The speaker mentions having some moral principles or values but does not exhibit a strong sense of integrity or ethical behavior.,"The speaker exhibits a strong sense of moral character, integrity, and ethical behavior, and may express a desire to act as a role model or inspire others to do the same.",positive,1.0
Frankness,Frankness,True,Personality,"This facet measures the extent to which a conversation turn demonstrates openness, honesty, and transparency in communication.","The speaker appears to be evasive, dishonest, or secretive in their communication, and may withhold information or distort the truth.",The speaker is generally truthful but may not always be forthcoming or transparent in their communication.,"The speaker exhibits a high degree of openness, honesty, and transparency in their communication, and may express a willingness to share their thoughts, feelings, and experiences with others.",positive,1.0
Psychological construct: Psychological Safety climate,Psychological construct: Psychological Safety climate,True,Safety/Ethics,"This facet measures the extent to which a conversation turn demonstrates a sense of safety, trust, and openness in sharing thoughts, feelings, and experiences with others.","The speaker appears to feel uncomfortable, anxious, or fearful about sharing their thoughts, feelings, or experiences with others.",The speaker mentions feeling somewhat comfortable sharing their thoughts and feelings with others but may not always feel fully supported or understood.,"The speaker exhibits a strong sense of psychological safety, feeling comfortable, supported, and encouraged to share their thoughts, feelings, and experiences with others.",positive,1.0
Psychological construct: Self-Compassion total,Psychological construct: Self-Compassion total,True,Cognitive,"This facet measures the extent to which a conversation turn demonstrates kindness, understanding, and acceptance towards oneself, particularly in the face of difficulties or setbacks.","The speaker appears to be highly self-critical, judgmental, or unforgiving towards themselves, and may express feelings of shame or self-doubt.",The speaker mentions having some self-compassionate tendencies but may not always be kind or understanding towards themselves.,"The speaker exhibits a high degree of self-compassion, able to treat themselves with kindness, understanding, and acceptance, even in the face of challenges or failures.",positive,1.0
Psychological construct: Executive-Function composite,Psychological construct: Executive-Function composite,True,Cognitive,"This facet measures the extent to which a conversation turn demonstrates high-level cognitive abilities, such as planning, organization, and self-regulation.","The speaker appears to struggle with planning, organization, or self-regulation, and may express feelings of disorganization or overwhelm.","The speaker mentions having some ability to plan, organize, and self-regulate but may not always be effective or efficient in their approach.","The speaker exhibits a high degree of executive function, able to plan, organize, and self-regulate effectively, and may express a sense of control and mastery over their thoughts, feelings, and behaviors.",positive,1.0
Rebelliousness,Rebelliousness,True,Personality,"This facet measures the extent to which a conversation turn demonstrates a tendency to challenge authority, break rules, or engage in nonconformist behavior.","The speaker appears to be highly conformist, rule-bound, or respectful of authority, and may express a strong desire to follow social norms.",The speaker mentions having some tendency to challenge authority or break rules but does not exhibit a strong or consistent pattern of rebellious behavior.,"The speaker exhibits a high degree of rebelliousness, frequently challenging authority, breaking rules, or engaging in nonconformist behavior, and may express a sense of pride or identity in their nonconformity.",neutral,1.0
Volunteer Work,Volunteer Work,True,Social,This facet measures the extent to which a conversation turn demonstrates a commitment to or involvement in volunteer work or community service.,"The speaker shows little to no interest in or involvement with volunteer work or community service, and may express a lack of concern for social causes.",The speaker mentions having some interest in or involvement with volunteer work but does not exhibit a strong or consistent commitment to community service.,"The speaker exhibits a high degree of commitment to volunteer work or community service, and may express a sense of purpose or fulfillment in their efforts to help others.",positive,1.0
Intellect,Intellect,True,General,"This facet measures the extent to which a conversation turn demonstrates a high level of cognitive ability, intellectual curiosity, or love of learning.","The speaker appears to be uninterested in or unengaged with intellectual pursuits, and may express a lack of curiosity or love of learning.",The speaker mentions having some interest in or engagement with intellectual pursuits but does not exhibit a strong or consistent pattern of intellectual curiosity.,"The speaker exhibits a high degree of intellect, able to engage in complex and nuanced discussions, and may express a strong desire to learn and explore new ideas and concepts.",positive,1.0
Use of Mathematical Formulas,Use of Mathematical Formulas,True,Cognitive,This facet measures the extent to which mathematical formulas are used to explain or support a point in a conversation turn.,No mathematical concepts or formulas are mentioned.,"Basic mathematical concepts are mentioned, but no complex formulas are used.",Complex mathematical formulas are accurately used to explain or support a point.,positive,1.0
Coarseness,Coarseness,True,Safety/Ethics,"This facet measures the degree to which a conversation turn contains crude, rude, or off-color language or content.",The language used is completely respectful and appropriate.,"Some mildly inappropriate language or humor is used, but it is not excessive.","The conversation turn contains frequent or extreme use of crude, rude, or off-color language or content.",negative,1.0
Sensitivity,Sensitivity,True,General,This facet measures how considerate and empathetic the speaker is towards others' feelings and perspectives in a conversation turn.,The speaker shows no regard for others' feelings or perspectives.,"The speaker acknowledges others' feelings and perspectives, but does not delve deeply into them.",The speaker is highly attuned to and empathetic towards others' feelings and perspectives.,positive,1.0
Divided Attention Ability,Divided Attention Ability,True,Cognitive,This facet measures the speaker's ability to focus on multiple topics or tasks simultaneously in a conversation turn.,The speaker struggles to focus on more than one topic at a time.,"The speaker can handle multiple topics, but may occasionally lose track of one or more.",The speaker can effortlessly switch between and manage multiple topics or tasks.,positive,1.0
Psychological construct: Acculturative Stress score,Psychological construct: Acculturative Stress score,True,Cognitive,,,,,,1.0
Dauntlessness,Dauntlessness,True,Personality,This facet measures the speaker's willingness to take risks and face challenges head-on in a conversation turn.,The speaker avoids discussing or shows reluctance to take on challenges or risks.,"The speaker is willing to consider taking calculated risks, but also weighs the potential downsides.",The speaker enthusiastically embraces challenges and is willing to take bold action.,positive,1.0
Concreteness,Concreteness,True,General,"This facet measures the degree to which a conversation turn focuses on specific, tangible, and practical details rather than abstract concepts.",The conversation turn is highly abstract and lacks concrete examples or details.,"The speaker provides some concrete examples, but also discusses abstract ideas.","The conversation turn is filled with specific, practical, and detailed information.",positive,1.0
Hysteria (Hy),Hysteria (Hy),True,Emotional,"This facet measures the degree to which a conversation turn reflects emotional instability, dramatics, or an excessive need for attention.",The speaker's emotions and behavior are stable and even-keel.,"The speaker shows some emotional fluctuation, but it is not extreme.","The speaker's conversation turn is marked by intense emotional drama, instability, or a pronounced need for attention.",negative,1.0
Sentence Structure,Sentence Structure,True,Linguistic,"This facet measures the complexity, clarity, and effectiveness of sentence structure used in a conversation turn.","Sentences are simple, short, and lack variety in structure.","Sentences are of moderate complexity, with some variation in structure, but may lack clarity at times.","Sentences are complex, well-structured, clear, and effectively convey the speaker's intended meaning.",positive,1.0
Esteem Needs,Esteem Needs,True,General,"This facet measures the degree to which a conversation turn reflects a need for self-esteem, recognition, or respect from others.",The speaker shows no apparent need for external validation or recognition.,"The speaker occasionally seeks praise or recognition, but it is not a dominant theme.","The speaker's conversation turn is heavily focused on seeking admiration, recognition, or respect from others.",neutral,1.0
Understanding mechanical concepts,Understanding mechanical concepts,True,General,This facet measures the speaker's comprehension and ability to explain mechanical concepts or principles in a conversation turn.,The speaker shows little to no understanding of mechanical concepts.,"The speaker demonstrates a basic understanding of mechanical principles, but may struggle to explain them in detail.",The speaker displays a deep and nuanced understanding of mechanical concepts and can explain them clearly.,positive,1.0
Auditory Memory Recall,Auditory Memory Recall,True,Linguistic,This facet measures the speaker's ability to recall and accurately reproduce information that was previously heard in a conversation turn.,The speaker struggles to recall even basic information from previous conversations.,"The speaker can recall some information, but may make occasional errors or forget key details.",The speaker can accurately and consistently recall detailed information from previous conversations.,positive,1.0
Storytelling proficiency,Storytelling proficiency,True,Linguistic,This facet measures the speaker's ability to engage and persuade the audience through the effective use of storytelling techniques in a conversation turn.,The speaker tells stories in a disjointed or unengaging manner.,"The speaker can tell a coherent story, but it may lack engaging elements or a clear point.",The speaker is a skilled storyteller who can captivate the audience and effectively convey their message.,positive,1.0
